,State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade),Average Revenue per Student,Average Spend per Student
329,Hawaii,2015,2703683.0,2521004.0,182384.0,237.895806837329,279.340145034503,215.124313046421,257.35043981355,14824.123826651461,13822.506360207037
344,Idaho,2003,1685984.0,1726941.0,248515.0,234.943764703458,279.939266837246,218.25988551638,264.439775716816,6784.234352051184,6949.041305353801
346,Idaho,2005,1796035.0,1819519.0,253782.0,241.65011574286495,280.966896649599,221.85951138201,264.301743791415,7077.077964552253,7169.614078224618
348,Idaho,2007,2011951.0,1960472.0,262935.0,240.90284353732,283.507595771493,223.404065315834,264.88634244604697,7651.894955026908,7456.108924258848
350,Idaho,2009,2182273.0,2078446.0,267951.0,241.04280230401298,287.305215052426,221.022924421352,264.837184984886,8144.29877104396,7756.813745796806
352,Idaho,2011,2089982.0,1960818.0,265713.0,240.328832465338,286.675063250389,220.82977062234002,268.014671593394,7865.561715083568,7379.458287701392
354,Idaho,2013,2015534.0,1967676.0,272070.0,240.722019842936,286.413881629757,219.30298595179198,270.22416855056196,7408.1449626934245,7232.241702503032
356,Idaho,2015,2167967.0,2029520.0,274131.0,238.79962471268502,283.742325345327,221.69006616565895,268.553479550783,7908.507246535415,7403.467685157826
370,Illinois,2003,19627346.0,21278177.0,2062664.0,232.856775292011,277.16008095632196,216.3042879829,266.408968905567,9515.532340701151,10315.871610693745
372,Illinois,2005,21611180.0,22035569.0,2072437.0,233.067493972686,277.672238913307,216.489719991402,263.517029687837,10427.906855552184,10632.684612366987
374,Illinois,2007,23897153.0,23401917.0,2101075.0,237.28704131937096,280.497096028329,219.386811378061,262.826617097915,11373.774377402046,11138.068369763098
376,Illinois,2009,26987426.0,27716187.0,2117291.0,238.28566884936,282.43141699208803,219.16577996227002,264.514002261585,12746.205410593066,13090.40042204874
378,Illinois,2011,29507584.0,28525858.0,2072114.0,238.836878932328,283.228134687939,219.35749825998798,265.643729382276,14240.328476135966,13766.548558621775
380,Illinois,2013,30057886.0,29517831.0,2069823.0,239.00020401700297,284.89764716416903,218.540183872207,266.898720958132,14521.95960717414,14261.04116149062
382,Illinois,2015,32096832.0,32410033.0,2047123.0,237.307813789509,281.968567276813,222.02226769547298,266.806728332711,15678.995351036552,15831.991043039427
397,Indiana,2003,8246076.0,9777720.0,999713.0,237.96827988706295,281.220939756711,220.40649112667901,264.832532267553,8248.443303228025,9780.527011252228
399,Indiana,2005,11653165.0,11071431.0,1014528.0,240.06909881046798,281.714945536305,218.072533254427,261.013686455544,11486.292147678527,10912.888555071915
401,Indiana,2007,10458932.0,11462062.0,1034588.0,245.14425495640305,285.007210900174,221.673092302826,264.095960900362,10109.272483346027,11078.86617668096
403,Indiana,2009,12999357.0,11218398.0,1028259.0,242.616809561118,286.809977886735,222.659480848241,265.69124060951,12642.103789025918,10910.089773101912
405,Indiana,2011,12125155.0,11113533.0,1023220.0,243.836875966553,285.00291608665003,220.731342685885,264.729844537772,11849.998045386134,10861.332851195246
407,Indiana,2013,12236713.0,11211155.0,1002772.0,248.59677735800202,287.767653833023,225.33234084693905,267.272974657765,12202.886598349374,11180.163586538116
409,Indiana,2015,12456571.0,11378564.0,1004215.0,247.65218362008702,287.175201077669,227.278891330949,268.25346768003504,12404.286930587574,11330.804658364992
424,Iowa,2003,4374803.0,4517990.0,482210.0,238.476694547401,283.95334474435504,223.271129818993,267.5048316647,9072.40206549014,9369.341158416457
426,Iowa,2005,4638125.0,4599549.0,478319.0,239.880801811134,283.81092883167196,220.80940018770698,267.00317168531103,9696.719135137848,9616.070028579254
428,Iowa,2007,5194536.0,5198975.0,483122.0,242.819589303779,285.226903146597,224.89479538694698,267.450719560442,10752.017088851262,10761.205244224026
430,Iowa,2009,5732319.0,5732186.0,487559.0,242.59564400257702,284.170178554705,221.422298113147,264.888126041644,11757.180156657963,11756.907369159424
432,Iowa,2011,6098470.0,6057294.0,493493.0,242.60487294847198,284.92083605870397,220.70744695489498,264.55452746182596,12357.763939914043,12274.326079599912
434,Iowa,2013,6281345.0,6318241.0,499489.0,245.793505546843,285.07013777479,223.81580463461103,269.003449619325,12575.542204132624,12649.409696710038
436,Iowa,2015,6714410.0,6772654.0,505311.0,243.339911874178,286.41621998599,223.62939884096,268.200596266662,13287.678281296072,13402.941950600718
449,Kansas,2003,4068800.0,3818740.0,470264.0,241.74736576191398,284.19108805230303,220.14322971260398,266.011689626198,8652.161339162683,8120.417467635201
451,Kansas,2005,4223632.0,4076597.0,468481.0,245.782046485738,284.030053484553,220.468749319458,266.831233242163,9015.588679156679,8701.733901695052
453,Kansas,2007,5038100.0,4823931.0,468974.0,247.923654192161,290.03259982925704,224.65836220092098,267.413790936682,10742.81303441129,10286.137397808832
455,Kansas,2009,5615208.0,5827751.0,470445.0,245.308653571101,288.596403041255,223.924213283757,266.799519310717,11935.950004782706,12387.741393786733
457,Kansas,2011,5538869.0,5662146.0,482692.0,246.25533479144298,289.61928267473996,223.565091158237,267.336395789343,11474.955043796044,11730.34978827078
459,Kansas,2013,5667223.0,5621023.0,488590.0,246.18570187094397,289.518256078135,223.386368779104,266.887523609855,11599.138336846845,11504.580527640763
461,Kansas,2015,5991731.0,6175724.0,496920.0,241.067208517258,283.871096311731,221.08988042430698,266.76553060986,12057.737664010305,12428.00450776785
476,Kentucky,2003,4872025.0,4700494.0,660782.0,228.72634325953098,274.278472166639,219.044417325545,266.191435227824,7373.120030509305,7113.532148272804
478,Kentucky,2005,5444309.0,5750671.0,674502.0,231.492305367483,273.983027164396,219.926817858434,263.938418419941,8071.598008604868,8525.802740392171
480,Kentucky,2007,6226696.0,6351636.0,646360.0,235.087920190601,278.704749914375,222.432314246177,261.96595099365396,9633.479794541741,9826.77764713163
